Frame_Width,Clapping_Force,Int_Force,Frame_Widths,Temple_Comfort_S,Temple_Fit_S,OverallFrame_Comfort_S,Temple_Comfort_D,Temple_Fit_D,OverallFrame_Comfort_D,Temple_Length,"Expension
Distance"
132,0.504,0.5,140,-1,1,-1,0,1,-1,106,18.09
136,0.456,0.46,140,1,1,0,1,0,1,106,13.61
140,0.335,0.34,140,2,0,2,2,0,2,106,9.35
144,0.281,0.28,140,2,0,2,2,0,2,106,11.76
148,0.309,0.3,140,2,0,2,2,0,2,106,10.85
152,0.193,0.2,140,1,-1,0,-2,-2,-1,106,7.57
144,0.281,0.28,140,2,0,2,3,0,2,106,11.76
128,0.409,0.4,140,2,1,2,3,0,2,108,19
132,0.383,0.38,140,2,0,2,2,0,2,108,17
136,0.34,0.34,140,3,0,3,1,0,2,108,14.075
140,0.243,0.24,140,2,0,2,0,-2,-2,108,10
144,0.254,0.26,140,1,-1,1,-1,-2,-2,108,12.15
148,0.206,0.2,140,-2,-3,-2,-2,-3,-3,108,11
140,0.243,0.24,140,2,0,2,0,-2,-2,108,10
120,0.42,0.42,132,0,1,0,0,1,0,94,16
124,0.264,0.26,132,2,1,2,2,1,2,94,10.35
128,0.3,0.3,132,2,0,2,2,0,2,94,8.785
132,0.246,0.24,132,1,1,1,1,1,1,94,8.22
136,0.136,0.14,132,-1,-2,-1,-1,-2,-1,94,5.5
140,0.006,0,132,-1,-1,-1,-1,-1,-1,94,1.81
128,0.3,0.3,132,3,0,3,3,0,3,94,8.785
122,0.495,0.5,134,2,1,1,2,1,1,102,19.315
126,0.45,0.46,134,2,0,1,1,0,1,102,16.79
130,0.258,0.26,134,1,1,0,1,0,1,102,13.21
134,0.324,0.32,134,1,0,1,1,-1,0,102,12.55
138,0.31,0.32,134,1,-1,1,1,-1,1,102,11.31
142,0.27,0.28,134,1,-1,0,0,-1,-1,102,9.38
126,0.45,0.46,134,2,0,1,1,0,1,102,16.79
128,0.446,0.44,140,1,0,2,2,0,2,102,20.12
132,0.457,0.46,140,1,1,1,1,1,0,102,19.83
136,0.389,0.38,140,2,1,1,2,1,2,102,17.6
140,0.281,0.28,140,2,0,2,2,0,2,102,10.64
144,0.33,0.32,140,2,0,3,2,0,2,102,15.82
148,0.333,0.34,140,1,0,1,2,0,1,102,14.96
144,0.33,0.34,140,2,0,3,3,0,3,102,15.82
120,0.466,0.46,132,2,1,2,2,1,2,104,21
124,0.3,0.3,132,1,0,1,1,0,1,104,15.18
128,0.271,0.28,132,-1,-1,-1,-1,-1,-1,104,14.14
132,0.262,0.26,132,-1,-2,-2,-1,-2,-2,104,14
136,0.183,0.18,132,-1,-2,-1,-1,-1,-1,104,6.8
140,0.112,0.12,132,-1,-3,-2,-2,-3,-2,104,6.5
124,0.3,0.3,132,2,0,2,2,0,2,104,15.18
132,0.52,0.52,144,-2,2,-1,1,1,1,104,18.25
136,0.304,0.3,144,-1,1,0,-1,1,0,104,13.5
140,0.185,0.18,144,0,-1,0,0,-1,0,104,10.65
144,0.297,0.3,144,2,1,1,2,1,1,104,12.63
148,0.302,0.3,144,2,0,2,2,0,2,104,12
152,0.153,0.16,144,0,-2,0,-1,-2,-1,104,8.15
144,0.297,0.3,144,1,1,1,1,1,1,104,12.63
130,0.285,0.28,142,3,0,3,1,0,1,104,12.8
134,0.308,0.3,142,3,0,3,3,0,3,104,13.8
138,0.337,0.34,142,3,0,3,3,0,3,104,14.19
142,0.324,0.32,142,2,0,2,2,0,1,104,11.16
146,0.195,0.2,142,1,-1,1,-1,-2,0,104,10.41
150,0.152,0.16,142,1,-1,2,-2,-2,2,104,7
130,0.285,0.28,142,3,0,2,1,0,2,104,12.8
128,0.402,0.4,144,2,1,1,2,1,2,100,18.6
132,0.383,0.38,144,1,1,1,-2,2,-1,100,16.785
136,0.325,0.32,144,2,0,2,2,0,3,100,14.31
140,0.255,0.26,144,2,0,1,2,0,2,100,11.45
148,0.182,0.18,144,1,-1,0,1,-1,0,100,9
152,0.086,0.08,144,-2,-2,-2,-3,-3,-3,100,3
140,0.255,0.26,144,2,0,1,2,0,2,100,11.45
128,0.474,0.48,144,1,1,1,2,1,2,104,19.6
132,0.383,0.38,144,1,1,1,1,1,1,104,15.635
136,0.276,0.28,144,2,1,2,1,-1,1,104,15
140,0.274,0.28,144,1,1,1,2,1,2,104,12.11
148,0.218,0.22,144,1,0,2,1,0,2,104,9.1
152,0.162,0.16,144,-1,-1,-1,-1,-1,-1,104,5.245
132,0.383,0.38,144,1,1,1,1,1,1,104,15.635
114,0.469,0.46,130,2,3,2,2,3,2,100,20.71
118,0.428,0.42,130,2,3,2,2,3,2,100,19.25
122,0.445,0.44,130,3,3,3,3,3,3,100,18.085
134,0.37,0.38,130,3,3,3,3,3,3,100,13.25
138,0.296,0.3,130,1,-1,0,0,-1,0,100,9.75
142,0.1,0.1,130,-2,-1,0,-2,-2,0,100,6.17
134,0.37,0.38,130,3,2,2,3,2,2,100,13.25
118,0.56,0.56,138,-3,2,-1,-2,1,-1,98,19.34
126,0.4,0.4,138,0,1,0,-1,1,-1,98,15
130,0.335,0.34,138,2,0,2,2,0,2,98,12
134,0.355,0.36,138,2,0,2,2,0,2,98,11.735
138,0.293,0.3,138,1,0,1,1,0,1,98,9.5
146,0.151,0.16,138,0,-1,0,-1,-1,-1,98,5.5
134,0.355,0.36,138,1,0,2,2,0,2,98,11.735
118,0.567,0.56,130,-2,2,-1,-1,1,-1,94,17.39
122,0.531,0.54,130,1,1,1,1,1,1,94,16.5
126,0.456,0.46,130,1,0,1,0,-1,0,94,13.75
130,0.308,0.3,130,2,0,2,2,0,2,94,10.185
138,0.283,0.28,130,0,-1,0,0,-1,0,94,8.34
142,0.167,0.16,130,0,-2,0,-1,-2,-1,94,5.215
130,0.308,0.3,130,2,0,2,2,0,2,94,10.185
120,0.512,0.52,140,-2,2,-2,0,-1,0,110,25
124,0.448,0.44,140,-1,1,-1,0,1,1,110,22.67
132,0.388,0.38,140,1,0,2,0,0,1,110,19
140,0.275,0.28,140,1,-1,1,1,-1,1,110,14.5
148,0.263,0.26,140,2,-2,2,1,-2,1,110,12.5
152,0.145,0.14,140,2,-2,2,0,-2,0,110,7.24
140,0.275,0.28,140,1,-1,1,0,0,1,110,12.5
120,0.525,0.52,140,-2,2,-2,-2,2,-2,102,21.695
124,0.457,0.46,140,0,1,1,0,1,0,102,19.045
